,Unnamed: 0,ds,yhat,yhat_lower,yhat_upper
0,0,1970-01-11,20.32111114512002,16.761652221750058,24.505365618316695
1,1,1970-01-21,21.502694862987205,17.795677085743154,25.80262516922265
2,2,1970-01-31,22.733380418976093,19.469119337538096,26.67110588155785
3,3,1970-02-10,24.016971229481012,20.458014699869253,27.783603340176807
4,4,1970-02-20,25.34925989861223,21.80689522826363,29.459340135775285
5,5,1970-03-02,26.72552068188189,23.500431722931232,30.84080473241902
6,6,1970-03-12,28.14832694994061,24.920234271890784,31.71486327171625
7,7,1970-03-22,29.60884793427321,26.390532935981483,33.436043919884064
8,8,1970-04-01,31.112336418391614,27.622706769541587,34.69041683314642
9,9,1970-04-11,32.63422492820727,29.42987612178622,36.70995589425174
10,10,1970-04-21,34.139523574584096,30.820370832991266,37.615478431308716
11,11,1970-05-01,35.67748337725712,32.39671563343612,39.65017781164431
12,12,1970-05-11,37.185746028142866,33.692434259893744,41.05734537791027
13,13,1970-05-21,38.71938856937994,35.476906679821894,42.59389054342445
14,14,1970-05-31,40.168205688969095,36.74664245662834,44.067042988318036
15,15,1970-06-10,41.63440298996721,37.84566085249398,45.46921749623982
16,16,1970-06-20,43.01430059049289,39.579872671170776,46.79505207684189
17,17,1970-06-30,44.40513735576718,40.94725761044146,48.311174967535436
18,18,1970-07-10,45.72230432616169,42.58144672149927,49.537648225753145
19,19,1970-07-20,47.04547955439713,43.416231818006096,50.90681367598778
20,20,1970-07-30,48.288059075258474,44.603418315195036,52.267988065386774
21,21,1970-08-09,49.532759285865424,46.33986290368043,53.432298447839614
22,22,1970-08-19,50.64499165522207,46.857566188286675,54.54327632827215
23,23,1970-08-29,51.756585969448594,48.41683820968545,55.81516616057819
24,24,1970-09-08,52.74461065971608,49.456852132852624,56.7105445743379
25,25,1970-09-18,53.66065064535101,50.06812305179358,57.7092367345571
26,26,1970-09-28,54.574226626365345,51.167064124911725,58.665543219184634
27,27,1970-10-08,55.390700921635855,51.95706609120033,59.14734480885626
28,28,1970-10-18,56.20427684855164,52.957893052108034,59.92098500625845
29,29,1970-10-28,56.943765953646405,53.87330309645999,60.55243938874265
30,30,1970-11-07,57.680170513871936,54.222177246477614,61.41564487467605
31,31,1970-11-17,58.31886106691767,54.87564926635582,62.05447827075958
32,32,1970-11-27,58.95477170291535,55.55567865581299,62.921539454056045
33,33,1970-12-07,59.55690000179105,56.14535772703974,63.523106818607815
34,34,1970-12-17,60.156164924457705,56.72691958669143,63.906300804935896
35,35,1970-12-27,60.697854022442215,57.26425065032982,64.60823407528267
36,36,1971-01-06,61.236924139025476,58.001942948517,64.84949268497343
37,37,1971-01-16,61.72785443271776,58.49690746057761,65.64079782313051
38,38,1971-01-26,62.21640343506529,59.06591610686079,66.08150938567027
39,39,1971-02-05,62.67277783416974,59.476809849695464,66.17771124427365
40,40,1971-02-15,63.103087364638064,59.75718547020621,67.10824650193032
41,41,1971-02-25,63.531322810000866,60.246553991581536,67.46912053503581
42,42,1971-03-07,63.937416299789604,60.47179060427599,67.97372231338842
43,43,1971-03-17,64.34152586342448,61.16810659960621,68.16727128734861
44,44,1971-03-27,64.73125471173863,61.33813328304201,68.20728835823071
45,45,1971-04-06,65.11903321262845,61.74587302120269,69.08497439057552
46,46,1971-04-16,65.48997797357386,62.03061264259162,69.28090191592955
47,47,1971-04-26,65.85904611377362,62.41094397857256,69.76588815757485
48,48,1971-05-06,66.21734789295489,62.9936610810995,69.79367570962805
49,49,1971-05-16,66.57379788153584,63.60314632123431,70.12177146029194
50,50,1971-05-26,66.92836526578135,63.88497698396694,70.63435484690393
51,51,1971-06-05,67.28102003448204,63.74942044252114,71.06055376102074
52,52,1971-06-15,67.63173298479114,64.04000800768247,71.48362077922438
53,53,1971-06-25,67.98047572739401,64.75732624202149,71.63923519017277
54,54,1971-07-05,68.32722069101554,65.02750149764638,72.30364436684458
55,55,1971-07-15,68.67194112627074,65.54045614304616,72.56552953355248
56,56,1971-07-25,69.01461110886535,65.88372209889124,73.09850970033798
57,57,1971-08-04,69.35520554215343,65.90256031016906,73.187896667278
58,58,1971-08-14,69.69370015906054,66.17503536347012,73.64489263780949
59,59,1971-08-24,70.03007152338024,66.68682765687856,74.0563713462165
60,60,1971-08-25,70.06359100343585,66.4778020000362,74.0002183500558
61,61,1971-08-26,70.09708900208568,66.68939097989366,74.18038656976185
62,62,1971-08-27,70.13056549726562,66.97404572884055,74.32821015042408
63,63,1971-08-28,70.16402046699484,66.6131264220638,74.01728258421801
64,64,1971-08-29,70.19745388937567,66.89138211737998,74.19671004222197
65,65,1971-08-30,70.23086574259351,67.18360330010329,74.27843309831631
66,66,1971-08-31,70.26425600491696,66.85596797590719,74.10166135677672
67,67,1971-09-01,70.29762465469778,66.88094726698985,74.46344398633052
68,68,1971-09-02,70.3309716703709,67.25618235647647,74.3071395966047
69,69,1971-09-03,70.36429703045432,66.91957137460226,74.41500059605404
